,Unnamed: 0,doc_index,original_text,extraction_text,mechanism_type,scope,responsible_entity,actions_taken,contact_info,policy_reference,status_or_effectiveness
88,88,43,The Company is committed to providing a safe and conducive work environment to its employees and workers. Employees are encouraged to share their concerns with their reporting managers and also reach out to the Human Resource department for the same. The Code of Conduct for Employees and the Whistle Blower Policy allows employees to report any kind of suspected or actual misconduct in the Company in an anonymous manner.,Employees sharing concerns with reporting managers and Human Resource department,Open-Door,"employees, workers","Reporting managers, Human Resource department",Employees are encouraged to share their concerns,,,Active
89,89,43,The Company is committed to providing a safe and conducive work environment to its employees and workers. Employees are encouraged to share their concerns with their reporting managers and also reach out to the Human Resource department for the same. The Code of Conduct for Employees and the Whistle Blower Policy allows employees to report any kind of suspected or actual misconduct in the Company in an anonymous manner.,Whistle Blower Policy for reporting misconduct,Whistleblower,employees,Company,Allows employees to report any kind of suspected or actual misconduct in an anonymous manner,,Whistle Blower Policy,Active
90,90,44,"At SAIL, we have established comprehensive internal mechanisms to redress grievances related to human rights issues, ensuring prompt and effective resolution. These mechanisms include dedicated grievance redressal cells and committees at various levels, where employees can confidentially report concerns. Regular training and awareness programs are conducted to educate employees about their rights and the available channels for grievance redressal. Additionally, we maintain confidentiality and protection against retaliation for those reporting grievances. This structured approach ensures that all human rights concerns are addressed fairly and transparently, upholding our commitment to ethical practices and employee welfare.",Comprehensive internal mechanisms to redress grievances related to human rights issues,Committee,employees,dedicated grievance redressal cells and committees at various levels,"Redresses grievances, ensures prompt and effective resolution, allows confidential reporting, maintains confidentiality and protection against retaliation, addresses concerns fairly and transparently",available channels for grievance redressal,Human Rights Policy (implied),"Active, effective"
91,91,45,"The Company has policies and laid down processes against Sexual harassment and discrimination at workplace.
Prevention of Sexual Harassment (POSH) policy includes processes for addressing complaints relating to sexual harassment at workplace:
• The Company has established Internal Committees in the respective regions to handle POSH cases.
• Complaints can be made to the Internal Committee members through email or letter.
• The POSH policy is gender neutral and ensures confidentiality of the complainant.
• All the complaints are investigated and closed within the timeframe of 90 days as statutorily required.
Ethics and Governance policies include processes for human rights grievance redressal practices:
• The Company has implemented a detailed code of conduct and Whistle-blower policy as a guidance and redressal mechanism to address any human rights grievances.
• The Complaint can be reported through third party ethics helpline (portal and toll-free number) or can be directly addressed to the Chairperson of the Audit Committee.
• The Whistle-blower policy strictly practices non-retaliation against the complainants and keeps their identity confidential.
• The Company has established Ethics Committees consisting of senior officials who look into the complaints received, investigations required and actions to be taken.",Prevention of Sexual Harassment (POSH) policy,Policy,employees,Internal Committees in the respective regions,"Addresses complaints relating to sexual harassment at workplace, ensures confidentiality, investigates and closes complaints within 90 days",Internal Committee members through email or letter,Prevention of Sexual Harassment (POSH) policy,Active
92,92,45,"The Company has policies and laid down processes against Sexual harassment and discrimination at workplace.
Prevention of Sexual Harassment (POSH) policy includes processes for addressing complaints relating to sexual harassment at workplace:
• The Company has established Internal Committees in the respective regions to handle POSH cases.
• Complaints can be made to the Internal Committee members through email or letter.
• The POSH policy is gender neutral and ensures confidentiality of the complainant.
• All the complaints are investigated and closed within the timeframe of 90 days as statutorily required.
Ethics and Governance policies include processes for human rights grievance redressal practices:
• The Company has implemented a detailed code of conduct and Whistle-blower policy as a guidance and redressal mechanism to address any human rights grievances.
• The Complaint can be reported through third party ethics helpline (portal and toll-free number) or can be directly addressed to the Chairperson of the Audit Committee.
• The Whistle-blower policy strictly practices non-retaliation against the complainants and keeps their identity confidential.
• The Company has established Ethics Committees consisting of senior officials who look into the complaints received, investigations required and actions to be taken.",Code of conduct and Whistle-blower policy for human rights grievance redressal,Whistleblower,all stakeholders,Company,Provides guidance and a redressal mechanism to address any human rights grievances,Not specified,"Code of conduct, Whistle-blower policy",Active
93,93,45,"The Company has policies and laid down processes against Sexual harassment and discrimination at workplace.
Prevention of Sexual Harassment (POSH) policy includes processes for addressing complaints relating to sexual harassment at workplace:
• The Company has established Internal Committees in the respective regions to handle POSH cases.
• Complaints can be made to the Internal Committee members through email or letter.
• The POSH policy is gender neutral and ensures confidentiality of the complainant.
• All the complaints are investigated and closed within the timeframe of 90 days as statutorily required.
Ethics and Governance policies include processes for human rights grievance redressal practices:
• The Company has implemented a detailed code of conduct and Whistle-blower policy as a guidance and redressal mechanism to address any human rights grievances.
• The Complaint can be reported through third party ethics helpline (portal and toll-free number) or can be directly addressed to the Chairperson of the Audit Committee.
• The Whistle-blower policy strictly practices non-retaliation against the complainants and keeps their identity confidential.
• The Company has established Ethics Committees consisting of senior officials who look into the complaints received, investigations required and actions to be taken.",Whistle-blower policy and associated reporting channels,Whistleblower,all stakeholders,Chairperson of the Audit Committee,"Allows complaints through third party ethics helpline or direct reporting, practices non-retaliation, and keeps complainants' identity confidential",third party ethics helpline (portal and toll-free number),Whistle-blower policy,Active
94,94,45,"The Company has policies and laid down processes against Sexual harassment and discrimination at workplace.
Prevention of Sexual Harassment (POSH) policy includes processes for addressing complaints relating to sexual harassment at workplace:
• The Company has established Internal Committees in the respective regions to handle POSH cases.
• Complaints can be made to the Internal Committee members through email or letter.
• The POSH policy is gender neutral and ensures confidentiality of the complainant.
• All the complaints are investigated and closed within the timeframe of 90 days as statutorily required.
Ethics and Governance policies include processes for human rights grievance redressal practices:
• The Company has implemented a detailed code of conduct and Whistle-blower policy as a guidance and redressal mechanism to address any human rights grievances.
• The Complaint can be reported through third party ethics helpline (portal and toll-free number) or can be directly addressed to the Chairperson of the Audit Committee.
• The Whistle-blower policy strictly practices non-retaliation against the complainants and keeps their identity confidential.
• The Company has established Ethics Committees consisting of senior officials who look into the complaints received, investigations required and actions to be taken.",Ethics Committees,Committee,all stakeholders,Ethics Committees consisting of senior officials,"Look into complaints received, conduct investigations, and determine actions to be taken",,,Active
95,95,46,"Grasim has established a robust internal system aligned with its extensive human rights policy, accessible to all stakeholders and the general public.

To effectively address complaints, Grasim has established a dedicated grievance redressal committee to handle diverse matters, including those related to human rights.

Through this system, employees and stakeholders are encouraged to express any concerns or grievances regarding possible human rights infringements without fear of reprisals. They may file written complaints with a designated committee member or their respective contact point.

Upon receiving a complaint, the grievance redressal committee executes a thorough investigation. The process is transparent and unbiased, involving collection of evidence, interaction with relevant parties, and consultation with professionals as necessary. The objective is to resolve grievances swiftly in a fair and just manner.

Throughout the entire grievance resolution process, the privacy and confidentiality of all involved parties are fully respected. Ensuring a safe and supportive environment is a priority for the company, ensuring complainants are protected from any form of harassment or victimization, both during and after the investigation.

Please refer to our Human Rights Policy: https://www.grasim.com/upload/pdf/human-rights-policy.pdf",Robust internal system and dedicated grievance redressal committee aligned with human rights policy,"Committee, Policy","all stakeholders, general public","Grievance Redressal Committee, designated committee member","Effectively addresses complaints, handles diverse matters including human rights, encourages reporting without fear of reprisals, allows filing written complaints, conducts thorough, transparent, and unbiased investigations (collecting evidence, interacting with parties, consulting professionals), resolves grievances swiftly, fairly, and justly",designated committee member or their respective contact point,Human Rights Policy,"Robust, active, effective"
96,96,46,"Grasim has established a robust internal system aligned with its extensive human rights policy, accessible to all stakeholders and the general public.

To effectively address complaints, Grasim has established a dedicated grievance redressal committee to handle diverse matters, including those related to human rights.

Through this system, employees and stakeholders are encouraged to express any concerns or grievances regarding possible human rights infringements without fear of reprisals. They may file written complaints with a designated committee member or their respective contact point.

Upon receiving a complaint, the grievance redressal committee executes a thorough investigation. The process is transparent and unbiased, involving collection of evidence, interaction with relevant parties, and consultation with professionals as necessary. The objective is to resolve grievances swiftly in a fair and just manner.

Throughout the entire grievance resolution process, the privacy and confidentiality of all involved parties are fully respected. Ensuring a safe and supportive environment is a priority for the company, ensuring complainants are protected from any form of harassment or victimization, both during and after the investigation.

Please refer to our Human Rights Policy: https://www.grasim.com/upload/pdf/human-rights-policy.pdf",Grievance resolution process under Human Rights Policy,Policy,all stakeholders,Company,"Ensures privacy and confidentiality of all involved parties, provides a safe and supportive environment, protects complainants from harassment or victimization during and after investigation",https://www.grasim.com/upload/pdf/human-rights-policy.pdf,Human Rights Policy,"Active, Effective"
97,97,47,"We are committed to ensuring an inclusive environment where people are treated with dignity and respect. We have 24 well-defined policies under our CoBP to effectively address grievances. Under these policies, we have established a web portal, email IDs, and contacts for receiving and managing complaints. If any employee has concerns, their reporting manager or Business Integrity Officer is their first point of contact. Employees can use web portal and phone option to report an issue anonymously.",24 well-defined policies under CoBP to effectively address grievances,Policy,employees,"reporting manager, Business Integrity Officer","Receiving and managing complaints, addressing grievances, allowing anonymous reporting","web portal, email IDs, contacts, phone option",CoBP,Active
98,98,48,"At JSP, employees have access to multiple channels for addressing and resolving grievances, ensuring a supportive and transparent work environment. Key among these channels is the Grievance Cell for Human Rights, which is dedicated to upholding the fundamental rights of all employees. Additionally, the Prevention of Sexual Harassment (POSH) Committee provides a safe platform for employees to report and address issues related to sexual harassment, ensuring a respectful and inclusive workplace.
The Code of Conduct Committee is available to assist employees in matters related to ethical behaviour and adherence to Company policies. Furthermore, the Group Ethics Officer serves as a pivotal point of contact for reporting any violations of the Company’s policies. Employees and external stakeholders can report concerns to the Group Ethics Officer via email or post, and such reports are protected under the Whistle-blower Policy, which ensures confidentiality and protection against retaliation.
JSP has also established Contractor’s Cells at various locations to specifically address the concerns of contract employees. These cells focus on issues such as wages, Provident Fund contributions, and the full and final settlement of dues, providing contract employees with a dedicated resource to ensure their rights and entitlements are upheld.
Overall, JSP’s comprehensive grievance resolution framework reflects its commitment to maintaining a fair, ethical, and supportive workplace for all employees and stakeholders.",Grievance Cell for Human Rights,Committee,employees,Grievance Cell for Human Rights,Upholds the fundamental rights of all employees,,,Active
99,99,48,"At JSP, employees have access to multiple channels for addressing and resolving grievances, ensuring a supportive and transparent work environment. Key among these channels is the Grievance Cell for Human Rights, which is dedicated to upholding the fundamental rights of all employees. Additionally, the Prevention of Sexual Harassment (POSH) Committee provides a safe platform for employees to report and address issues related to sexual harassment, ensuring a respectful and inclusive workplace.
The Code of Conduct Committee is available to assist employees in matters related to ethical behaviour and adherence to Company policies. Furthermore, the Group Ethics Officer serves as a pivotal point of contact for reporting any violations of the Company’s policies. Employees and external stakeholders can report concerns to the Group Ethics Officer via email or post, and such reports are protected under the Whistle-blower Policy, which ensures confidentiality and protection against retaliation.
JSP has also established Contractor’s Cells at various locations to specifically address the concerns of contract employees. These cells focus on issues such as wages, Provident Fund contributions, and the full and final settlement of dues, providing contract employees with a dedicated resource to ensure their rights and entitlements are upheld.
Overall, JSP’s comprehensive grievance resolution framework reflects its commitment to maintaining a fair, ethical, and supportive workplace for all employees and stakeholders.",Prevention of Sexual Harassment (POSH) Committee,Committee,employees,Prevention of Sexual Harassment (POSH) Committee,Provides a safe platform for employees to report and address issues related to sexual harassment,,,Active
100,100,48,"At JSP, employees have access to multiple channels for addressing and resolving grievances, ensuring a supportive and transparent work environment. Key among these channels is the Grievance Cell for Human Rights, which is dedicated to upholding the fundamental rights of all employees. Additionally, the Prevention of Sexual Harassment (POSH) Committee provides a safe platform for employees to report and address issues related to sexual harassment, ensuring a respectful and inclusive workplace.
The Code of Conduct Committee is available to assist employees in matters related to ethical behaviour and adherence to Company policies. Furthermore, the Group Ethics Officer serves as a pivotal point of contact for reporting any violations of the Company’s policies. Employees and external stakeholders can report concerns to the Group Ethics Officer via email or post, and such reports are protected under the Whistle-blower Policy, which ensures confidentiality and protection against retaliation.
JSP has also established Contractor’s Cells at various locations to specifically address the concerns of contract employees. These cells focus on issues such as wages, Provident Fund contributions, and the full and final settlement of dues, providing contract employees with a dedicated resource to ensure their rights and entitlements are upheld.
Overall, JSP’s comprehensive grievance resolution framework reflects its commitment to maintaining a fair, ethical, and supportive workplace for all employees and stakeholders.",Code of Conduct Committee,Committee,employees,Code of Conduct Committee,Assists employees in matters related to ethical behaviour and adherence to Company policies,,Company policies,Active
101,101,48,"At JSP, employees have access to multiple channels for addressing and resolving grievances, ensuring a supportive and transparent work environment. Key among these channels is the Grievance Cell for Human Rights, which is dedicated to upholding the fundamental rights of all employees. Additionally, the Prevention of Sexual Harassment (POSH) Committee provides a safe platform for employees to report and address issues related to sexual harassment, ensuring a respectful and inclusive workplace.
The Code of Conduct Committee is available to assist employees in matters related to ethical behaviour and adherence to Company policies. Furthermore, the Group Ethics Officer serves as a pivotal point of contact for reporting any violations of the Company’s policies. Employees and external stakeholders can report concerns to the Group Ethics Officer via email or post, and such reports are protected under the Whistle-blower Policy, which ensures confidentiality and protection against retaliation.
JSP has also established Contractor’s Cells at various locations to specifically address the concerns of contract employees. These cells focus on issues such as wages, Provident Fund contributions, and the full and final settlement of dues, providing contract employees with a dedicated resource to ensure their rights and entitlements are upheld.
Overall, JSP’s comprehensive grievance resolution framework reflects its commitment to maintaining a fair, ethical, and supportive workplace for all employees and stakeholders.",Reporting concerns to the Group Ethics Officer,Whistleblower,"employees, external stakeholders",Group Ethics Officer,"Reports any violations of the Company’s policies, ensures confidentiality and protection against retaliation",email or post,Whistle-blower Policy,Active
102,102,48,"At JSP, employees have access to multiple channels for addressing and resolving grievances, ensuring a supportive and transparent work environment. Key among these channels is the Grievance Cell for Human Rights, which is dedicated to upholding the fundamental rights of all employees. Additionally, the Prevention of Sexual Harassment (POSH) Committee provides a safe platform for employees to report and address issues related to sexual harassment, ensuring a respectful and inclusive workplace.
The Code of Conduct Committee is available to assist employees in matters related to ethical behaviour and adherence to Company policies. Furthermore, the Group Ethics Officer serves as a pivotal point of contact for reporting any violations of the Company’s policies. Employees and external stakeholders can report concerns to the Group Ethics Officer via email or post, and such reports are protected under the Whistle-blower Policy, which ensures confidentiality and protection against retaliation.
JSP has also established Contractor’s Cells at various locations to specifically address the concerns of contract employees. These cells focus on issues such as wages, Provident Fund contributions, and the full and final settlement of dues, providing contract employees with a dedicated resource to ensure their rights and entitlements are upheld.
Overall, JSP’s comprehensive grievance resolution framework reflects its commitment to maintaining a fair, ethical, and supportive workplace for all employees and stakeholders.",Contractor’s Cells at various locations to address concerns of contract employees,Other,contract employees,Contractor’s Cells,"Addresses concerns regarding wages, Provident Fund contributions, and full and final settlement of dues; ensures rights and entitlements are upheld.",Not specified,Not specified,"Active, effective"
103,103,49,"Ambuja Cements Ltd. is committed to upholding of fundamental human rights in line with the legitimate role of the business. Our approach includes adherence to corporate business policies and compliance with applicable laws including internationally recognised human rights, as set out in the International Bill of Human Rights and the International Labour Organization declaration on Fundamental Principles and Right at Work. The policy is applicable to all stakeholders including employees, associates, customers, vendors, contractors, etc.",Approach to upholding fundamental human rights through adherence to corporate business policies and compliance with applicable laws,Policy,"all stakeholders including employees, associates, customers, vendors, contractors",Ambuja Cements Ltd.,"Upholding of fundamental human rights, adherence to corporate business policies, compliance with applicable laws including internationally recognised human rights",,"corporate business policies, International Bill of Human Rights, International Labour Organization declaration on Fundamental Principles and Right at Work",Active
104,104,50,"Appropriate systems and mechanisms with time bound process for redressal, such as Grievance Management System, Safety Committees, Internal Complaints Committee, Whistle-blower Policy etc. are in place to allow for resolution of the issues raised under Human Rights policy. There are well-established policies and practices in place such as the Online Grievance Management System, Whistle Blower Policy/ Vigil Mechanism, including strict compliance to laws, rules, and regulations, such as labour rights, health and safety, non-discrimination, freedom of association and collective bargaining, human rights disciplinary practices, contract management, and Prevention of Sexual Harassment, amongst others. OIL also has an independent Chief Vigilance Officer who reports to the Central Vigilance Commission, Govt. of India.",Online Grievance Management System,Other,employees,Company (OIL),"Allows for resolution of issues raised under Human Rights policy, including labour rights, health and safety, non-discrimination, freedom of association and collective bargaining, human rights disciplinary practices, contract management, and Prevention of Sexual Harassment.",,Human Rights policy,Active
105,105,50,"Appropriate systems and mechanisms with time bound process for redressal, such as Grievance Management System, Safety Committees, Internal Complaints Committee, Whistle-blower Policy etc. are in place to allow for resolution of the issues raised under Human Rights policy. There are well-established policies and practices in place such as the Online Grievance Management System, Whistle Blower Policy/ Vigil Mechanism, including strict compliance to laws, rules, and regulations, such as labour rights, health and safety, non-discrimination, freedom of association and collective bargaining, human rights disciplinary practices, contract management, and Prevention of Sexual Harassment, amongst others. OIL also has an independent Chief Vigilance Officer who reports to the Central Vigilance Commission, Govt. of India.",Safety Committees,Committee,employees,Safety Committees,Allows for resolution of issues related to safety under Human Rights policy.,,Human Rights policy,Active
106,106,50,"Appropriate systems and mechanisms with time bound process for redressal, such as Grievance Management System, Safety Committees, Internal Complaints Committee, Whistle-blower Policy etc. are in place to allow for resolution of the issues raised under Human Rights policy. There are well-established policies and practices in place such as the Online Grievance Management System, Whistle Blower Policy/ Vigil Mechanism, including strict compliance to laws, rules, and regulations, such as labour rights, health and safety, non-discrimination, freedom of association and collective bargaining, human rights disciplinary practices, contract management, and Prevention of Sexual Harassment, amongst others. OIL also has an independent Chief Vigilance Officer who reports to the Central Vigilance Commission, Govt. of India.",Internal Complaints Committee,Committee,employees,Internal Complaints Committee,"Allows for resolution of issues, including Prevention of Sexual Harassment, under Human Rights policy.",,"Human Rights policy, Prevention of Sexual Harassment",Active
107,107,50,"Appropriate systems and mechanisms with time bound process for redressal, such as Grievance Management System, Safety Committees, Internal Complaints Committee, Whistle-blower Policy etc. are in place to allow for resolution of the issues raised under Human Rights policy. There are well-established policies and practices in place such as the Online Grievance Management System, Whistle Blower Policy/ Vigil Mechanism, including strict compliance to laws, rules, and regulations, such as labour rights, health and safety, non-discrimination, freedom of association and collective bargaining, human rights disciplinary practices, contract management, and Prevention of Sexual Harassment, amongst others. OIL also has an independent Chief Vigilance Officer who reports to the Central Vigilance Commission, Govt. of India.",Whistle Blower Policy/ Vigil Mechanism,Whistleblower,all stakeholders,"Chief Vigilance Officer, Company (OIL)","Allows for resolution of issues raised under Human Rights policy, ensures strict compliance to laws, rules, and regulations.",,"Whistle Blower Policy/ Vigil Mechanism, Human Rights policy",Active
108,108,51,"Motherson’s Human Rights Policy https://www.motherson.com/storage/Group-Policies/Human-Rights-Policy.pdf emphasizes the company’s recognition of international human rights principles Motherson’s approach to human rights aligns with local needs and requirements, leading to a variety of approaches and processes across its global footprint. These processes complement the Whistle-Blower policy and include multiple anonymous submission platforms such as email accounts, phone numbers, mobile apps, web portals, and physical drop boxes. In addition, Motherson has established various working groups and committees focused on areas such as health and safety, employee representation, anti-sexual harassment, grievance handling, works council, unionmanagement, consultation, canteen, welfare, and more. These groups work alongside formal complaints resolution procedures.",Whistle-Blower policy and multiple anonymous submission platforms,Whistleblower,all stakeholders,Motherson,Provides channels for anonymous submission of complaints and disclosures related to human rights,"email accounts, phone numbers, mobile apps, web portals, physical drop boxes","Whistle-Blower policy, Human Rights Policy",Active
109,109,51,"Motherson’s Human Rights Policy https://www.motherson.com/storage/Group-Policies/Human-Rights-Policy.pdf emphasizes the company’s recognition of international human rights principles Motherson’s approach to human rights aligns with local needs and requirements, leading to a variety of approaches and processes across its global footprint. These processes complement the Whistle-Blower policy and include multiple anonymous submission platforms such as email accounts, phone numbers, mobile apps, web portals, and physical drop boxes. In addition, Motherson has established various working groups and committees focused on areas such as health and safety, employee representation, anti-sexual harassment, grievance handling, works council, unionmanagement, consultation, canteen, welfare, and more. These groups work alongside formal complaints resolution procedures.",Various working groups and committees,Committee,employees,Motherson (working groups and committees),"Focus on areas such as health and safety, employee representation, anti-sexual harassment, grievance handling, works council, union-management, consultation, canteen, welfare, and work alongside formal complaints resolution procedures",,Human Rights Policy,Active
110,110,52,"Employee Grievance Redressal Committee is constituted to address the grievances of employees apart from the on-line platform i.e. People Care Link. Similarly, the Contract Workmen are also encouraged to express/share their views / ideas / concerns freely at workplace/meetings.",Employee Grievance Redressal Committee,Committee,employees,Employee Grievance Redressal Committee,Address the grievances of employees,,,Active
111,111,52,"Employee Grievance Redressal Committee is constituted to address the grievances of employees apart from the on-line platform i.e. People Care Link. Similarly, the Contract Workmen are also encouraged to express/share their views / ideas / concerns freely at workplace/meetings.",on-line platform i.e. People Care Link,Other,employees,Company,Address the grievances of employees,,,Active
112,112,52,"Employee Grievance Redressal Committee is constituted to address the grievances of employees apart from the on-line platform i.e. People Care Link. Similarly, the Contract Workmen are also encouraged to express/share their views / ideas / concerns freely at workplace/meetings.",Encouragement for Contract Workmen to express/share their views / ideas / concerns freely at workplace/meetings,Open-Door,workers,Workplace/Meetings,"Encourage free expression of views, ideas, and concerns",,,Active
113,113,53,"Company has a robust grievance redressal system. Refer Q.No.6 under Principle-3. Contracts with value chain partners which involve deployment of labour include specific conditions towards health & safety, working hours, and remuneration. Company complies with applicable labour Laws and a compliance report is submitted by Heads of Divisions.

For contractual employees, the Engineer-in-Charge / Office-in-Charge / Dept. concerned handling the Contracts in the Divisions / Offices looks after issues related to remuneration, health & safety within the premises and working hours.

Further, Internal Complaints Committee under the provisions of Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013, is constituted in the Divisions / Offices of HAL to deal with Complaints related to Sexual Harassment and conduct enquiries on such issues.",Specific conditions in contracts with value chain partners for labour deployment,Policy,labour deployed by value chain partners,Company,"Ensures compliance with health & safety, working hours, and remuneration standards",,Contracts with value chain partners,Active
114,114,53,"Company has a robust grievance redressal system. Refer Q.No.6 under Principle-3. Contracts with value chain partners which involve deployment of labour include specific conditions towards health & safety, working hours, and remuneration. Company complies with applicable labour Laws and a compliance report is submitted by Heads of Divisions.

For contractual employees, the Engineer-in-Charge / Office-in-Charge / Dept. concerned handling the Contracts in the Divisions / Offices looks after issues related to remuneration, health & safety within the premises and working hours.

Further, Internal Complaints Committee under the provisions of Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013, is constituted in the Divisions / Offices of HAL to deal with Complaints related to Sexual Harassment and conduct enquiries on such issues.",Compliance with applicable labour Laws,Policy,employees,Heads of Divisions,"Ensures adherence to labour laws, submits compliance reports",,Applicable Labour Laws,Active
115,115,53,"Company has a robust grievance redressal system. Refer Q.No.6 under Principle-3. Contracts with value chain partners which involve deployment of labour include specific conditions towards health & safety, working hours, and remuneration. Company complies with applicable labour Laws and a compliance report is submitted by Heads of Divisions.

For contractual employees, the Engineer-in-Charge / Office-in-Charge / Dept. concerned handling the Contracts in the Divisions / Offices looks after issues related to remuneration, health & safety within the premises and working hours.

Further, Internal Complaints Committee under the provisions of Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013, is constituted in the Divisions / Offices of HAL to deal with Complaints related to Sexual Harassment and conduct enquiries on such issues.",Mechanism for contractual employees' issues,Other,contractual employees,Engineer-in-Charge / Office-in-Charge / Dept. concerned handling the Contracts in the Divisions / Offices,"Looks after issues related to remuneration, health & safety within the premises and working hours",,,Active
116,116,53,"Company has a robust grievance redressal system. Refer Q.No.6 under Principle-3. Contracts with value chain partners which involve deployment of labour include specific conditions towards health & safety, working hours, and remuneration. Company complies with applicable labour Laws and a compliance report is submitted by Heads of Divisions.

For contractual employees, the Engineer-in-Charge / Office-in-Charge / Dept. concerned handling the Contracts in the Divisions / Offices looks after issues related to remuneration, health & safety within the premises and working hours.

Further, Internal Complaints Committee under the provisions of Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013, is constituted in the Divisions / Offices of HAL to deal with Complaints related to Sexual Harassment and conduct enquiries on such issues.",Internal Complaints Committee (ICC),Committee,Women at Workplace,Internal Complaints Committee,Deals with complaints related to Sexual Harassment and conducts enquiries on such issues,,"Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013","Constituted, Active"
117,117,54,"We offer a dedicated grievance channel through our Whistle-blower Policy, allowing stakeholders to confidentially report concerns to the Chairperson of the Ethics Committee or the Chief Internal Auditor at ethics@cipla.com.",Dedicated grievance channel through our Whistle-blower Policy,Whistleblower,stakeholders,Chairperson of the Ethics Committee or the Chief Internal Auditor,Allows stakeholders to confidentially report concerns,ethics@cipla.com,Whistle-blower Policy,Active
118,118,55,"We regard the respect for human rights as a core principle guiding our business operations. Resolving complaints
and grievances is conducted in adherence to principles of natural justice, confidentiality, sensitivity, and ensuring there is no
retaliation against employees. Should any violations occur, employees have the option to file a complaint with the Enforcement
Committee as outlined in our policy. Grievances regarding any member of the Enforcement Committee should be directed to
the Managing Director for resolution. The Committee is tasked with safeguarding both the privacy of the complainant and the
confidentiality of complaints. Our Human Rights Policy can be found at https://www.bajajauto.com/-/media/bajajauto/Investors/
code-policy/Human-Rights-Policy.ashx","Grievance redressal mechanism under the Human Rights Policy, involving the Enforcement Committee",Committee,employees,"Enforcement Committee, Managing Director","Resolves complaints and grievances adhering to principles of natural justice, confidentiality, sensitivity, and ensuring no retaliation; safeguards privacy and confidentiality of complaints.",Employees file complaints with the Enforcement Committee; grievances regarding any member of the Enforcement Committee should be directed to the Managing Director.,Human Rights Policy (https://www.bajajauto.com/-/media/bajajauto/Investors/code-policy/Human-Rights-Policy.ashx),Active
119,119,56,"There is a formal well laid out grievance redressal mechanism related to human rights issues. The mechanism provides for three-tier resolution. First stage with Controlling Officer, second stage with Head of the Department, third stage with Grievance Redressal Committee.",Formal well laid out grievance redressal mechanism related to human rights issues,Committee,all stakeholders,"Controlling Officer, Head of the Department, Grievance Redressal Committee",Provides for three-tier resolution,,,Active
120,120,57,"The mechanism to redress grievances under Human rights is same as for other grievances. On receipt of any concern through email, letter, web helpline, oral etc., it is registered by the Principal Ethics Counselor (PEC) and sanity check done. Anything outside the preview of the Code of Conduct is informed back to the complainant. For complaints within the purview of the TCoC and merits further investigation an investigator either internal or external is assigned. The investigator conducts investigation by gathering the data, validating, analysing and gives his observations & recommendations. The investigation report is further reviewed by the PEC and the recommendation acted upon. The documentation of the action taken is filed for records. These
are reviewed by MD & CEO and the Audit Committee.",Mechanism to redress grievances under Human rights,Other,all stakeholders,"Principal Ethics Counselor (PEC), investigator (internal or external), MD & CEO, Audit Committee","Registers concerns, performs sanity checks, assigns investigators, conducts investigations (gathering data, validating, analysing, providing observations & recommendations), reviews reports, acts on recommendations, files documentation, reviewed by MD & CEO and Audit Committee","email, letter, web helpline, oral",Code of Conduct,Active
121,121,58,"The Company is having grievance redressal mechanism to address grievances pertaining to human rights violations. All employees and workers are encouraged to report human rights related violations on issues relating to injustice, criticism, unfairness or violation of dignity. Any violation of Human Rights as per the Human Rights Policy Statement of Glenmark, should be reported to the local HR Department or to the legal team of Glenmark (globalcompliance@glenmarkpharma.com). We ensure prompt investigation, addressing  and responding to the concerns of employees on human rights violations and take appropriate action. 

Human rights policy statement of Glenmark is available at https://glenmark.bcdn.net/gpl_pdfs/about_us/Human%20Rights%20Policy.",Grievance redressal mechanism to address grievances pertaining to human rights violations,Policy,"employees, workers","local HR Department, legal team of Glenmark","Prompt investigation, addressing and responding to concerns on human rights violations, taking appropriate action",globalcompliance@glenmarkpharma.com,Human Rights Policy Statement of Glenmark (https://glenmark.bcdn.net/gpl_pdfs/about_us/Human%20Rights%20Policy),"Active, Effective"
122,122,59,"The Company adheres to uncompromising integrity in conduct of business and has zero tolerance for corrupt and immoral practices. The Company’s operations are guided by strong control systems which are reviewed regularly by internal and external auditors. Code of Conduct, Whistleblower Policy and Prevention of Workplace Harassment and initiatives on creating awareness of sexual harassment at workplace, empower employees to report unethical practices. Specified mechanisms have been set up to deal with workplace harassments and facilitate their swift redressal. Employees can raise their concerns to the Office of Ombudsperson about potential issues concerning fraudulent business practices, unethical behaviour, discriminating or gender-biased misconduct and violation of the Company’s policies or CODE. No person has been denied access to the Chairperson of the Audit Committee. Teams of strategic business unit heads/officers appointed by the Ombudsperson are engaged by the Ethics and Compliance office, for resolution of reported cases in accordance with the Whistleblower Policy. During the year, all cases of sexual harassment that were reported were investigated and resolved by the Internal Complaints Committee within the specified turnaround time as per the Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013.",Whistleblower Policy,Whistleblower,employees,Company,Empowers employees to report unethical practices,,Whistleblower Policy,Active
