,doc_index,original_text,extraction_text,theme,goal,metric,timeline,objective_type
538,225,"Environment	
Carbon Neutrality (Scope 1 & 2 Emissions)	70% by FY 2032-33 and 100% by FY 2049-50
Scope 3 Emissions (Plastic & Paper Waste)	50% by FY 2027-28
Carbon Offset                                                    By FY 2029-30
•Planting 70,000 Trees
•Solar Plant 3,500 KWP
•Green Housing Offset	

Social	
Increase Women Workforce up to 8%	                                           By FY 2027-28
Increase women workforce in H.O. & related office up to 25%	By FY 2027-28
Maintain Fresh Hire up to 20%                                                        Every Year
Increase the Specially Abled Employees up to 10	               By FY 2027-28
CSR: -
•Engage 5,50,000 + people in Education & Holistic Development. 
•Increase 4,50,000+ beneficiary through women employability under Gram Siddhi Program. By FY 2029-30

Governance 	
BRSR Core Assurance	                                                                                     From FY 2023-24
Target to get low ESG risk ratings/score.	-
Climate Impact reporting and became a member of CDP and attain a rating of A.	By FY 2027-28
Sustainability Report to be aligned with international reporting frameworks.	-","Carbon Offset By FY 2029-30 •Planting 70,000 Trees",Biodiversity,Carbon Offset through planting trees,"70,000 Trees",FY 2029-30,
539,225,"Environment	
Carbon Neutrality (Scope 1 & 2 Emissions)	70% by FY 2032-33 and 100% by FY 2049-50
Scope 3 Emissions (Plastic & Paper Waste)	50% by FY 2027-28
Carbon Offset                                                    By FY 2029-30
•Planting 70,000 Trees
•Solar Plant 3,500 KWP
•Green Housing Offset	

Social	
Increase Women Workforce up to 8%	                                           By FY 2027-28
Increase women workforce in H.O. & related office up to 25%	By FY 2027-28
Maintain Fresh Hire up to 20%                                                        Every Year
Increase the Specially Abled Employees up to 10	               By FY 2027-28
CSR: -
•Engage 5,50,000 + people in Education & Holistic Development. 
•Increase 4,50,000+ beneficiary through women employability under Gram Siddhi Program. By FY 2029-30

Governance 	
BRSR Core Assurance	                                                                                     From FY 2023-24
Target to get low ESG risk ratings/score.	-
Climate Impact reporting and became a member of CDP and attain a rating of A.	By FY 2027-28
Sustainability Report to be aligned with international reporting frameworks.	-","Carbon Offset By FY 2029-30 •Solar Plant 3,500 KWP",Climate,Carbon Offset through solar plant installation,"3,500 KWP",FY 2029-30,
540,225,"Environment	
Carbon Neutrality (Scope 1 & 2 Emissions)	70% by FY 2032-33 and 100% by FY 2049-50
Scope 3 Emissions (Plastic & Paper Waste)	50% by FY 2027-28
Carbon Offset                                                    By FY 2029-30
•Planting 70,000 Trees
•Solar Plant 3,500 KWP
•Green Housing Offset	

Social	
Increase Women Workforce up to 8%	                                           By FY 2027-28
Increase women workforce in H.O. & related office up to 25%	By FY 2027-28
Maintain Fresh Hire up to 20%                                                        Every Year
Increase the Specially Abled Employees up to 10	               By FY 2027-28
CSR: -
•Engage 5,50,000 + people in Education & Holistic Development. 
•Increase 4,50,000+ beneficiary through women employability under Gram Siddhi Program. By FY 2029-30

Governance 	
BRSR Core Assurance	                                                                                     From FY 2023-24
Target to get low ESG risk ratings/score.	-
Climate Impact reporting and became a member of CDP and attain a rating of A.	By FY 2027-28
Sustainability Report to be aligned with international reporting frameworks.	-",Carbon Offset By FY 2029-30 •Green Housing Offset,Climate,Carbon Offset through green housing,N/A,FY 2029-30,
541,225,"Environment	
Carbon Neutrality (Scope 1 & 2 Emissions)	70% by FY 2032-33 and 100% by FY 2049-50
Scope 3 Emissions (Plastic & Paper Waste)	50% by FY 2027-28
Carbon Offset                                                    By FY 2029-30
•Planting 70,000 Trees
•Solar Plant 3,500 KWP
•Green Housing Offset	

Social	
Increase Women Workforce up to 8%	                                           By FY 2027-28
Increase women workforce in H.O. & related office up to 25%	By FY 2027-28
Maintain Fresh Hire up to 20%                                                        Every Year
Increase the Specially Abled Employees up to 10	               By FY 2027-28
CSR: -
•Engage 5,50,000 + people in Education & Holistic Development. 
•Increase 4,50,000+ beneficiary through women employability under Gram Siddhi Program. By FY 2029-30

Governance 	
BRSR Core Assurance	                                                                                     From FY 2023-24
Target to get low ESG risk ratings/score.	-
Climate Impact reporting and became a member of CDP and attain a rating of A.	By FY 2027-28
Sustainability Report to be aligned with international reporting frameworks.	-",Increase Women Workforce up to 8% By FY 2027-28,Diversity & Inclusion,Increase women workforce,8%,FY 2027-28,
542,225,"Environment	
Carbon Neutrality (Scope 1 & 2 Emissions)	70% by FY 2032-33 and 100% by FY 2049-50
Scope 3 Emissions (Plastic & Paper Waste)	50% by FY 2027-28
Carbon Offset                                                    By FY 2029-30
•Planting 70,000 Trees
•Solar Plant 3,500 KWP
•Green Housing Offset	

Social	
Increase Women Workforce up to 8%	                                           By FY 2027-28
Increase women workforce in H.O. & related office up to 25%	By FY 2027-28
Maintain Fresh Hire up to 20%                                                        Every Year
Increase the Specially Abled Employees up to 10	               By FY 2027-28
CSR: -
•Engage 5,50,000 + people in Education & Holistic Development. 
•Increase 4,50,000+ beneficiary through women employability under Gram Siddhi Program. By FY 2029-30

Governance 	
BRSR Core Assurance	                                                                                     From FY 2023-24
Target to get low ESG risk ratings/score.	-
Climate Impact reporting and became a member of CDP and attain a rating of A.	By FY 2027-28
Sustainability Report to be aligned with international reporting frameworks.	-",Increase women workforce in H.O. & related office up to 25% By FY 2027-28,Diversity & Inclusion,Increase women workforce in H.O. & related office,25%,FY 2027-28,
543,225,"Environment	
Carbon Neutrality (Scope 1 & 2 Emissions)	70% by FY 2032-33 and 100% by FY 2049-50
Scope 3 Emissions (Plastic & Paper Waste)	50% by FY 2027-28
Carbon Offset                                                    By FY 2029-30
•Planting 70,000 Trees
•Solar Plant 3,500 KWP
•Green Housing Offset	

Social	
Increase Women Workforce up to 8%	                                           By FY 2027-28
Increase women workforce in H.O. & related office up to 25%	By FY 2027-28
Maintain Fresh Hire up to 20%                                                        Every Year
Increase the Specially Abled Employees up to 10	               By FY 2027-28
CSR: -
•Engage 5,50,000 + people in Education & Holistic Development. 
•Increase 4,50,000+ beneficiary through women employability under Gram Siddhi Program. By FY 2029-30

Governance 	
BRSR Core Assurance	                                                                                     From FY 2023-24
Target to get low ESG risk ratings/score.	-
Climate Impact reporting and became a member of CDP and attain a rating of A.	By FY 2027-28
Sustainability Report to be aligned with international reporting frameworks.	-",Maintain Fresh Hire up to 20% Every Year,Human Capital,Maintain fresh hire percentage,20%,Every Year,
544,225,"Environment	
Carbon Neutrality (Scope 1 & 2 Emissions)	70% by FY 2032-33 and 100% by FY 2049-50
Scope 3 Emissions (Plastic & Paper Waste)	50% by FY 2027-28
Carbon Offset                                                    By FY 2029-30
•Planting 70,000 Trees
•Solar Plant 3,500 KWP
•Green Housing Offset	

Social	
Increase Women Workforce up to 8%	                                           By FY 2027-28
Increase women workforce in H.O. & related office up to 25%	By FY 2027-28
Maintain Fresh Hire up to 20%                                                        Every Year
Increase the Specially Abled Employees up to 10	               By FY 2027-28
CSR: -
•Engage 5,50,000 + people in Education & Holistic Development. 
•Increase 4,50,000+ beneficiary through women employability under Gram Siddhi Program. By FY 2029-30

Governance 	
BRSR Core Assurance	                                                                                     From FY 2023-24
Target to get low ESG risk ratings/score.	-
Climate Impact reporting and became a member of CDP and attain a rating of A.	By FY 2027-28
Sustainability Report to be aligned with international reporting frameworks.	-",Increase the Specially Abled Employees up to 10 By FY 2027-28,Diversity & Inclusion,Increase specially abled employees,10 employees,FY 2027-28,
545,225,"Environment	
Carbon Neutrality (Scope 1 & 2 Emissions)	70% by FY 2032-33 and 100% by FY 2049-50
Scope 3 Emissions (Plastic & Paper Waste)	50% by FY 2027-28
Carbon Offset                                                    By FY 2029-30
•Planting 70,000 Trees
•Solar Plant 3,500 KWP
•Green Housing Offset	

Social	
Increase Women Workforce up to 8%	                                           By FY 2027-28
Increase women workforce in H.O. & related office up to 25%	By FY 2027-28
Maintain Fresh Hire up to 20%                                                        Every Year
Increase the Specially Abled Employees up to 10	               By FY 2027-28
CSR: -
•Engage 5,50,000 + people in Education & Holistic Development. 
•Increase 4,50,000+ beneficiary through women employability under Gram Siddhi Program. By FY 2029-30

Governance 	
BRSR Core Assurance	                                                                                     From FY 2023-24
Target to get low ESG risk ratings/score.	-
Climate Impact reporting and became a member of CDP and attain a rating of A.	By FY 2027-28
Sustainability Report to be aligned with international reporting frameworks.	-","Engage 5,50,000 + people in Education & Holistic Development.",CSR,Engage people in Education & Holistic Development,"5,50,000 + people",By FY 2029-30,
546,225,"Environment	
Carbon Neutrality (Scope 1 & 2 Emissions)	70% by FY 2032-33 and 100% by FY 2049-50
Scope 3 Emissions (Plastic & Paper Waste)	50% by FY 2027-28
Carbon Offset                                                    By FY 2029-30
•Planting 70,000 Trees
•Solar Plant 3,500 KWP
•Green Housing Offset	

Social	
Increase Women Workforce up to 8%	                                           By FY 2027-28
Increase women workforce in H.O. & related office up to 25%	By FY 2027-28
Maintain Fresh Hire up to 20%                                                        Every Year
Increase the Specially Abled Employees up to 10	               By FY 2027-28
CSR: -
•Engage 5,50,000 + people in Education & Holistic Development. 
•Increase 4,50,000+ beneficiary through women employability under Gram Siddhi Program. By FY 2029-30

Governance 	
BRSR Core Assurance	                                                                                     From FY 2023-24
Target to get low ESG risk ratings/score.	-
Climate Impact reporting and became a member of CDP and attain a rating of A.	By FY 2027-28
Sustainability Report to be aligned with international reporting frameworks.	-","Increase 4,50,000+ beneficiary through women employability under Gram Siddhi Program.",CSR,Increase beneficiaries through women employability under Gram Siddhi Program,"4,50,000+ beneficiaries",By FY 2029-30,
547,225,"Environment	
Carbon Neutrality (Scope 1 & 2 Emissions)	70% by FY 2032-33 and 100% by FY 2049-50
Scope 3 Emissions (Plastic & Paper Waste)	50% by FY 2027-28
Carbon Offset                                                    By FY 2029-30
•Planting 70,000 Trees
•Solar Plant 3,500 KWP
•Green Housing Offset	

Social	
Increase Women Workforce up to 8%	                                           By FY 2027-28
Increase women workforce in H.O. & related office up to 25%	By FY 2027-28
Maintain Fresh Hire up to 20%                                                        Every Year
Increase the Specially Abled Employees up to 10	               By FY 2027-28
CSR: -
•Engage 5,50,000 + people in Education & Holistic Development. 
•Increase 4,50,000+ beneficiary through women employability under Gram Siddhi Program. By FY 2029-30

Governance 	
BRSR Core Assurance	                                                                                     From FY 2023-24
Target to get low ESG risk ratings/score.	-
Climate Impact reporting and became a member of CDP and attain a rating of A.	By FY 2027-28
Sustainability Report to be aligned with international reporting frameworks.	-",BRSR Core Assurance From FY 2023-24,Governance,Obtain BRSR Core Assurance,N/A,From FY 2023-24,
548,225,"Environment	
Carbon Neutrality (Scope 1 & 2 Emissions)	70% by FY 2032-33 and 100% by FY 2049-50
Scope 3 Emissions (Plastic & Paper Waste)	50% by FY 2027-28
Carbon Offset                                                    By FY 2029-30
•Planting 70,000 Trees
•Solar Plant 3,500 KWP
•Green Housing Offset	

Social	
Increase Women Workforce up to 8%	                                           By FY 2027-28
Increase women workforce in H.O. & related office up to 25%	By FY 2027-28
Maintain Fresh Hire up to 20%                                                        Every Year
Increase the Specially Abled Employees up to 10	               By FY 2027-28
CSR: -
•Engage 5,50,000 + people in Education & Holistic Development. 
•Increase 4,50,000+ beneficiary through women employability under Gram Siddhi Program. By FY 2029-30

Governance 	
BRSR Core Assurance	                                                                                     From FY 2023-24
Target to get low ESG risk ratings/score.	-
Climate Impact reporting and became a member of CDP and attain a rating of A.	By FY 2027-28
Sustainability Report to be aligned with international reporting frameworks.	-",Target to get low ESG risk ratings/score.,Governance,Achieve low ESG risk ratings/score,N/A,ongoing,
549,225,"Environment	
Carbon Neutrality (Scope 1 & 2 Emissions)	70% by FY 2032-33 and 100% by FY 2049-50
Scope 3 Emissions (Plastic & Paper Waste)	50% by FY 2027-28
Carbon Offset                                                    By FY 2029-30
•Planting 70,000 Trees
•Solar Plant 3,500 KWP
•Green Housing Offset	

Social	
Increase Women Workforce up to 8%	                                           By FY 2027-28
Increase women workforce in H.O. & related office up to 25%	By FY 2027-28
Maintain Fresh Hire up to 20%                                                        Every Year
Increase the Specially Abled Employees up to 10	               By FY 2027-28
CSR: -
•Engage 5,50,000 + people in Education & Holistic Development. 
•Increase 4,50,000+ beneficiary through women employability under Gram Siddhi Program. By FY 2029-30

Governance 	
BRSR Core Assurance	                                                                                     From FY 2023-24
Target to get low ESG risk ratings/score.	-
Climate Impact reporting and became a member of CDP and attain a rating of A.	By FY 2027-28
Sustainability Report to be aligned with international reporting frameworks.	-",Climate Impact reporting and became a member of CDP and attain a rating of A.,Climate,Become a member of CDP and attain a rating of A,A rating,By FY 2027-28,Quantitative
550,225,"Environment	
Carbon Neutrality (Scope 1 & 2 Emissions)	70% by FY 2032-33 and 100% by FY 2049-50
Scope 3 Emissions (Plastic & Paper Waste)	50% by FY 2027-28
Carbon Offset                                                    By FY 2029-30
•Planting 70,000 Trees
•Solar Plant 3,500 KWP
•Green Housing Offset	

Social	
Increase Women Workforce up to 8%	                                           By FY 2027-28
Increase women workforce in H.O. & related office up to 25%	By FY 2027-28
Maintain Fresh Hire up to 20%                                                        Every Year
Increase the Specially Abled Employees up to 10	               By FY 2027-28
CSR: -
•Engage 5,50,000 + people in Education & Holistic Development. 
•Increase 4,50,000+ beneficiary through women employability under Gram Siddhi Program. By FY 2029-30

Governance 	
BRSR Core Assurance	                                                                                     From FY 2023-24
Target to get low ESG risk ratings/score.	-
Climate Impact reporting and became a member of CDP and attain a rating of A.	By FY 2027-28
Sustainability Report to be aligned with international reporting frameworks.	-",Sustainability Report to be aligned with international reporting frameworks.,Governance,Align Sustainability Report with international reporting frameworks,N/A,ongoing,Qualitative
551,227,"Covering minimum three Scope 3 categories by FY 2024, apart from financed emissions
20% renewable energy in energy mix by 2025 for large offices
10% of finance towards wholesale responsible lending by 2027
Estimate % of offices located in water stress areas by 2025
Implement water conservation initiatives for all large offices by 2025
20% reduction of waste intensity from FY 2023 baseline by 2030","Covering minimum three Scope 3 categories by FY 2024, apart from financed emissions",Climate,Cover Scope 3 categories,Minimum three categories,FY 2024,
552,227,"Covering minimum three Scope 3 categories by FY 2024, apart from financed emissions
20% renewable energy in energy mix by 2025 for large offices
10% of finance towards wholesale responsible lending by 2027
Estimate % of offices located in water stress areas by 2025
Implement water conservation initiatives for all large offices by 2025
20% reduction of waste intensity from FY 2023 baseline by 2030",20% renewable energy in energy mix by 2025 for large offices,Climate,Increase renewable energy in energy mix,20%,2025,
553,227,"Covering minimum three Scope 3 categories by FY 2024, apart from financed emissions
20% renewable energy in energy mix by 2025 for large offices
10% of finance towards wholesale responsible lending by 2027
Estimate % of offices located in water stress areas by 2025
Implement water conservation initiatives for all large offices by 2025
20% reduction of waste intensity from FY 2023 baseline by 2030",10% of finance towards wholesale responsible lending by 2027,CSR,Finance towards wholesale responsible lending,10% of finance,2027,
554,227,"Covering minimum three Scope 3 categories by FY 2024, apart from financed emissions
20% renewable energy in energy mix by 2025 for large offices
10% of finance towards wholesale responsible lending by 2027
Estimate % of offices located in water stress areas by 2025
Implement water conservation initiatives for all large offices by 2025
20% reduction of waste intensity from FY 2023 baseline by 2030",Estimate % of offices located in water stress areas by 2025,Climate,Estimate percentage of offices located in water stress areas,Percentage of offices,2025,
555,227,"Covering minimum three Scope 3 categories by FY 2024, apart from financed emissions
20% renewable energy in energy mix by 2025 for large offices
10% of finance towards wholesale responsible lending by 2027
Estimate % of offices located in water stress areas by 2025
Implement water conservation initiatives for all large offices by 2025
20% reduction of waste intensity from FY 2023 baseline by 2030",Implement water conservation initiatives for all large offices by 2025,Climate,Implement water conservation initiatives,All large offices,2025,
556,227,"Covering minimum three Scope 3 categories by FY 2024, apart from financed emissions
20% renewable energy in energy mix by 2025 for large offices
10% of finance towards wholesale responsible lending by 2027
Estimate % of offices located in water stress areas by 2025
Implement water conservation initiatives for all large offices by 2025
20% reduction of waste intensity from FY 2023 baseline by 2030",20% reduction of waste intensity from FY 2023 baseline by 2030,Climate,Reduce waste intensity,20% reduction from FY 2023 baseline,2030,
557,228,"The Company is dedicated to its mission of serving marginalized communities by offering a diverse array of products and services. We place a strong emphasis on promoting gender empowerment and harness the power of technology and innovation to establish enduring strategic alliances. Through these efforts, the Company aims to create a lasting impact and foster inclusive growth for underserved and unserved segments of society.","The Company is dedicated to its mission of serving marginalized communities by offering a diverse array of products and services. We place a strong emphasis on promoting gender empowerment and harness the power of technology and innovation to establish enduring strategic alliances. Through these efforts, the Company aims to create a lasting impact and foster inclusive growth for underserved and unserved segments of society.",CSR,"Serving marginalized communities, promoting gender empowerment, and fostering inclusive growth for underserved and unserved segments of society",N/A,ongoing,Qualitative
558,230,"The Company is determined to follow the path envisioned under the 9 principles laid down in the National Voluntary Guidelines on Social, Environmental & Economic Responsibilities of Business issued by the Ministry of Corporate Affairs.","The Company is determined to follow the path envisioned under the 9 principles laid down in the National Voluntary Guidelines on Social, Environmental & Economic Responsibilities of Business issued by the Ministry of Corporate Affairs.",Governance,"Follow the 9 principles laid down in the National Voluntary Guidelines on Social, Environmental & Economic Responsibilities of Business",null,ongoing,Qualitative
559,233,"Ensuring sustainability is a continuous journey for us. We had finalised the following commitments, goals, and targets last year for FY 2025 with FY 2016 as baseline.
-Implementation of ISO 14001:2015 Standards 
-Reducing the environmental footprint by targeting a 60% reduction in Scope 1 and 2 emissions
-Increasing reliance on renewable energy sources, with a goal of reaching 60% utilisation
-Sustainable water management practices are a priority for the Company, aiming to reduce freshwater consumption intensity by 45%
-Max Healthcare aims to reduce overall waste intensity by end of FY 2025 as base year FY 2022 by 5% to contribute to a greener environment
-Emphasising a sustainable supply chain, Max Healthcare endeavours to reduce emissions throughout its value/supply chain by 10% by FY 2025
-To enhance monitoring, Max Healthcare plans for tracking Scope 3 emissions in FY 2024
-While adhering to regulatory requirements, the Company endeavours to increase efficiency of research and development processes which is good for the patient and for the planet
-Patient Safety Excellence: Max Healthcare strives to attain patient safety satisfaction ensuring topnotch care and service quality for its patients
-Community Outreach: Max Healthcare seeks to positively impact underprivileged individuals by through various community outreach and health education programmes
-Pursuit of ISO 27001 certification, a recognised standard for information security management systems, aimed at strengthening data privacy and security efforts
We recognise that achieving desired sustainability results require continuous efforts, continuous monitoring and innovative solutions.",Implementation of ISO 14001:2015 Standards,Governance,Implement ISO 14001:2015 Standards,N/A,ongoing,
560,233,"Ensuring sustainability is a continuous journey for us. We had finalised the following commitments, goals, and targets last year for FY 2025 with FY 2016 as baseline.
-Implementation of ISO 14001:2015 Standards 
-Reducing the environmental footprint by targeting a 60% reduction in Scope 1 and 2 emissions
-Increasing reliance on renewable energy sources, with a goal of reaching 60% utilisation
-Sustainable water management practices are a priority for the Company, aiming to reduce freshwater consumption intensity by 45%
-Max Healthcare aims to reduce overall waste intensity by end of FY 2025 as base year FY 2022 by 5% to contribute to a greener environment
-Emphasising a sustainable supply chain, Max Healthcare endeavours to reduce emissions throughout its value/supply chain by 10% by FY 2025
-To enhance monitoring, Max Healthcare plans for tracking Scope 3 emissions in FY 2024
-While adhering to regulatory requirements, the Company endeavours to increase efficiency of research and development processes which is good for the patient and for the planet
-Patient Safety Excellence: Max Healthcare strives to attain patient safety satisfaction ensuring topnotch care and service quality for its patients
-Community Outreach: Max Healthcare seeks to positively impact underprivileged individuals by through various community outreach and health education programmes
-Pursuit of ISO 27001 certification, a recognised standard for information security management systems, aimed at strengthening data privacy and security efforts
We recognise that achieving desired sustainability results require continuous efforts, continuous monitoring and innovative solutions.",Reducing the environmental footprint by targeting a 60% reduction in Scope 1 and 2 emissions,Climate,Reduce environmental footprint by reducing Scope 1 and 2 emissions,60% reduction in Scope 1 and 2 emissions,N/A,
561,233,"Ensuring sustainability is a continuous journey for us. We had finalised the following commitments, goals, and targets last year for FY 2025 with FY 2016 as baseline.
-Implementation of ISO 14001:2015 Standards 
-Reducing the environmental footprint by targeting a 60% reduction in Scope 1 and 2 emissions
-Increasing reliance on renewable energy sources, with a goal of reaching 60% utilisation
-Sustainable water management practices are a priority for the Company, aiming to reduce freshwater consumption intensity by 45%
-Max Healthcare aims to reduce overall waste intensity by end of FY 2025 as base year FY 2022 by 5% to contribute to a greener environment
-Emphasising a sustainable supply chain, Max Healthcare endeavours to reduce emissions throughout its value/supply chain by 10% by FY 2025
-To enhance monitoring, Max Healthcare plans for tracking Scope 3 emissions in FY 2024
-While adhering to regulatory requirements, the Company endeavours to increase efficiency of research and development processes which is good for the patient and for the planet
-Patient Safety Excellence: Max Healthcare strives to attain patient safety satisfaction ensuring topnotch care and service quality for its patients
-Community Outreach: Max Healthcare seeks to positively impact underprivileged individuals by through various community outreach and health education programmes
-Pursuit of ISO 27001 certification, a recognised standard for information security management systems, aimed at strengthening data privacy and security efforts
We recognise that achieving desired sustainability results require continuous efforts, continuous monitoring and innovative solutions.","Increasing reliance on renewable energy sources, with a goal of reaching 60% utilisation",Climate,Increase reliance on renewable energy sources,60% utilisation,N/A,
562,233,"Ensuring sustainability is a continuous journey for us. We had finalised the following commitments, goals, and targets last year for FY 2025 with FY 2016 as baseline.
-Implementation of ISO 14001:2015 Standards 
-Reducing the environmental footprint by targeting a 60% reduction in Scope 1 and 2 emissions
-Increasing reliance on renewable energy sources, with a goal of reaching 60% utilisation
-Sustainable water management practices are a priority for the Company, aiming to reduce freshwater consumption intensity by 45%
-Max Healthcare aims to reduce overall waste intensity by end of FY 2025 as base year FY 2022 by 5% to contribute to a greener environment
-Emphasising a sustainable supply chain, Max Healthcare endeavours to reduce emissions throughout its value/supply chain by 10% by FY 2025
-To enhance monitoring, Max Healthcare plans for tracking Scope 3 emissions in FY 2024
-While adhering to regulatory requirements, the Company endeavours to increase efficiency of research and development processes which is good for the patient and for the planet
-Patient Safety Excellence: Max Healthcare strives to attain patient safety satisfaction ensuring topnotch care and service quality for its patients
-Community Outreach: Max Healthcare seeks to positively impact underprivileged individuals by through various community outreach and health education programmes
-Pursuit of ISO 27001 certification, a recognised standard for information security management systems, aimed at strengthening data privacy and security efforts
We recognise that achieving desired sustainability results require continuous efforts, continuous monitoring and innovative solutions.","Sustainable water management practices are a priority for the Company, aiming to reduce freshwater consumption intensity by 45%",Climate,Reduce freshwater consumption intensity,45% reduction in freshwater consumption intensity,N/A,
563,233,"Ensuring sustainability is a continuous journey for us. We had finalised the following commitments, goals, and targets last year for FY 2025 with FY 2016 as baseline.
-Implementation of ISO 14001:2015 Standards 
-Reducing the environmental footprint by targeting a 60% reduction in Scope 1 and 2 emissions
-Increasing reliance on renewable energy sources, with a goal of reaching 60% utilisation
-Sustainable water management practices are a priority for the Company, aiming to reduce freshwater consumption intensity by 45%
-Max Healthcare aims to reduce overall waste intensity by end of FY 2025 as base year FY 2022 by 5% to contribute to a greener environment
-Emphasising a sustainable supply chain, Max Healthcare endeavours to reduce emissions throughout its value/supply chain by 10% by FY 2025
-To enhance monitoring, Max Healthcare plans for tracking Scope 3 emissions in FY 2024
-While adhering to regulatory requirements, the Company endeavours to increase efficiency of research and development processes which is good for the patient and for the planet
-Patient Safety Excellence: Max Healthcare strives to attain patient safety satisfaction ensuring topnotch care and service quality for its patients
-Community Outreach: Max Healthcare seeks to positively impact underprivileged individuals by through various community outreach and health education programmes
-Pursuit of ISO 27001 certification, a recognised standard for information security management systems, aimed at strengthening data privacy and security efforts
We recognise that achieving desired sustainability results require continuous efforts, continuous monitoring and innovative solutions.",Max Healthcare aims to reduce overall waste intensity by end of FY 2025 as base year FY 2022 by 5% to contribute to a greener environment,Climate,Reduce overall waste intensity,5% reduction in overall waste intensity,end of FY 2025 (base year FY 2022),
564,233,"Ensuring sustainability is a continuous journey for us. We had finalised the following commitments, goals, and targets last year for FY 2025 with FY 2016 as baseline.
-Implementation of ISO 14001:2015 Standards 
-Reducing the environmental footprint by targeting a 60% reduction in Scope 1 and 2 emissions
-Increasing reliance on renewable energy sources, with a goal of reaching 60% utilisation
-Sustainable water management practices are a priority for the Company, aiming to reduce freshwater consumption intensity by 45%
-Max Healthcare aims to reduce overall waste intensity by end of FY 2025 as base year FY 2022 by 5% to contribute to a greener environment
-Emphasising a sustainable supply chain, Max Healthcare endeavours to reduce emissions throughout its value/supply chain by 10% by FY 2025
-To enhance monitoring, Max Healthcare plans for tracking Scope 3 emissions in FY 2024
-While adhering to regulatory requirements, the Company endeavours to increase efficiency of research and development processes which is good for the patient and for the planet
-Patient Safety Excellence: Max Healthcare strives to attain patient safety satisfaction ensuring topnotch care and service quality for its patients
-Community Outreach: Max Healthcare seeks to positively impact underprivileged individuals by through various community outreach and health education programmes
-Pursuit of ISO 27001 certification, a recognised standard for information security management systems, aimed at strengthening data privacy and security efforts
We recognise that achieving desired sustainability results require continuous efforts, continuous monitoring and innovative solutions.","Emphasising a sustainable supply chain, Max Healthcare endeavours to reduce emissions throughout its value/supply chain by 10% by FY 2025",Supply Chain,Reduce emissions throughout its value/supply chain,10% reduction in emissions,FY 2025,
565,233,"Ensuring sustainability is a continuous journey for us. We had finalised the following commitments, goals, and targets last year for FY 2025 with FY 2016 as baseline.
-Implementation of ISO 14001:2015 Standards 
-Reducing the environmental footprint by targeting a 60% reduction in Scope 1 and 2 emissions
-Increasing reliance on renewable energy sources, with a goal of reaching 60% utilisation
-Sustainable water management practices are a priority for the Company, aiming to reduce freshwater consumption intensity by 45%
-Max Healthcare aims to reduce overall waste intensity by end of FY 2025 as base year FY 2022 by 5% to contribute to a greener environment
-Emphasising a sustainable supply chain, Max Healthcare endeavours to reduce emissions throughout its value/supply chain by 10% by FY 2025
-To enhance monitoring, Max Healthcare plans for tracking Scope 3 emissions in FY 2024
-While adhering to regulatory requirements, the Company endeavours to increase efficiency of research and development processes which is good for the patient and for the planet
-Patient Safety Excellence: Max Healthcare strives to attain patient safety satisfaction ensuring topnotch care and service quality for its patients
-Community Outreach: Max Healthcare seeks to positively impact underprivileged individuals by through various community outreach and health education programmes
-Pursuit of ISO 27001 certification, a recognised standard for information security management systems, aimed at strengthening data privacy and security efforts
We recognise that achieving desired sustainability results require continuous efforts, continuous monitoring and innovative solutions.","To enhance monitoring, Max Healthcare plans for tracking Scope 3 emissions in FY 2024",Climate,Enhance monitoring by tracking Scope 3 emissions,N/A,FY 2024,
566,233,"Ensuring sustainability is a continuous journey for us. We had finalised the following commitments, goals, and targets last year for FY 2025 with FY 2016 as baseline.
-Implementation of ISO 14001:2015 Standards 
-Reducing the environmental footprint by targeting a 60% reduction in Scope 1 and 2 emissions
-Increasing reliance on renewable energy sources, with a goal of reaching 60% utilisation
-Sustainable water management practices are a priority for the Company, aiming to reduce freshwater consumption intensity by 45%
-Max Healthcare aims to reduce overall waste intensity by end of FY 2025 as base year FY 2022 by 5% to contribute to a greener environment
-Emphasising a sustainable supply chain, Max Healthcare endeavours to reduce emissions throughout its value/supply chain by 10% by FY 2025
-To enhance monitoring, Max Healthcare plans for tracking Scope 3 emissions in FY 2024
-While adhering to regulatory requirements, the Company endeavours to increase efficiency of research and development processes which is good for the patient and for the planet
-Patient Safety Excellence: Max Healthcare strives to attain patient safety satisfaction ensuring topnotch care and service quality for its patients
-Community Outreach: Max Healthcare seeks to positively impact underprivileged individuals by through various community outreach and health education programmes
-Pursuit of ISO 27001 certification, a recognised standard for information security management systems, aimed at strengthening data privacy and security efforts
We recognise that achieving desired sustainability results require continuous efforts, continuous monitoring and innovative solutions.","While adhering to regulatory requirements, the Company endeavours to increase efficiency of research and development processes which is good for the patient and for the planet",Other,Increase efficiency of research and development processes,N/A,ongoing,
